20220406T,-2.680142,172.039,169.509,-0.9760877
20220405T,0.03115368,176.9609,173.0829,-0.348967
20220404T,1.708819,179.6574,176.5696,0.7749301
20220401T,-2.554631,174.5063,171.9763,-0.2230229
20220331T,-1.788583,176.5408,173.2705,-0.2965169
20220330T,1.03701,178.5778,176.0478,0.5577273
20220329T,3.020686,179.4246,176.8946,1.335461
20220328T,1.075385,175.9696,173.4396,0.8655227
20220325T,1.830126,175.1778,172.6478,1.195919
20220324T,2.734686,174.7944,171.3197,1.631757
20220323T,2.221472,171.2717,167.4353,1.336968
20220322T,3.059159,169.2202,165.8756,1.491906
20220321T,2.49925,166.1112,163.0715,1.181287
20220318T,3.478274,164.653,160.9705,1.228959
20220317T,2.489592,161.338,158.5224,0.8362956
20220316T,3.724044,160.498,156.8571,0.8748612
20220315T,0.4425955,156.101,152.9999,-0.2710005
20220314T,-4.019734,152.1102,150.3602,-1.955218
20220311T,-3.207262,155.9103,153.6699,-1.000873
20220310T,-1.209045,159.759,157.1747,-0.8844091
20220309T,2.435061,164.7487,161.4043,0.4530436
20220308T,-2.647507,160.0197,155.7332,-1.081481
20220307T,-3.0303,161.2264,157.8112,-0.9980724
20220304T,-1.911069,164.1029,162.0081,-0.4173953
20220303T,1.303224,166.9008,164.6446,0.460648
20220302T,1.526266,167.4099,164.628,0.568086
20220301T,-0.5611906,164.062,161.2286,-0.3905225
20220228T,2.535927,165.986,163.383,0.2020411
20220225T,2.835276,165.5665,162.8331,0.3801387
20220224T,-1.230238,164.2154,158.9435,-1.130498
20220223T,-3.516005,162.192,158.9432,-1.37619
20220222T,-3.275791,165.8835,163.4211,-1.253119
20220218T,-2.933739,168.6265,166.1153,-0.6980819
20220217T,-1.558782,169.6698,167.1607,-0.5905228
20220216T,0.9171143,173.3625,170.7397,0.09500116
20220215T,2.385943,173.6487,171.4773,0.5131567
20220214T,-1.505368,170.1481,168.2435,-0.7014925
20220211T,-3.562527,170.417,167.6514,-0.9525751
20220210T,-2.062282,173.3742,171.011,-0.4415636
20220209T,2.345515,176.9326,175.1826,0.6607243
20220208T,1.622192,176.8042,172.9841,0.5114529
20220207T,-0.4909487,172.757,170.787,-0.1238083
20220204T,-1.172636,173.4406,171.7301,-0.02595021
20220203T,-0.6029129,173.4331,171.1995,0.1440736
20220202T,1.336148,175.8794,173.791,1.076786
20220201T,2.199379,175.1604,172.4112,1.56093
20220131T,6.297819,175.6961,170.9942,2.279306
20220128T,6.222252,171.3396,165.9074,2.057426
20220127T,-0.8921032,161.2308,157.2257,-0.6236466
20220126T,-0.598403,161.9033,157.318,-0.591241
20220125T,-1.379621,161.6383,158.129,-0.8213993
20220124T,-2.385303,163.544,159.4759,-1.407232
20220121T,-2.213031,164.9588,161.9028,-1.164918
20220120T,-2.451541,166.8212,163.5744,-1.124802
20220119T,-3.686762,168.1618,165.4329,-1.079098
20220118T,-2.046836,170.9888,169.1755,-0.6815321
20220114T,-0.8496332,174.0121,172.2113,-0.1624613
20220113T,-1.634373,173.0751,170.3654,-0.554688
20220112T,1.778811,176.4073,174.0937,0.3560511
20220111T,1.933916,175.7339,173.1378,0.2370809
20220110T,-1.100345,173.856,170.9229,-0.7228128
20220107T,-0.8309336,173.727,172.0775,-0.680025
20220106T,-3.479685,173.8699,171.8001,-1.19324
20220105T,-3.536042,176.5054,173.0851,-0.8516217
20220104T,-0.2125902,180.4271,178.1348,0.1285367
20220103T,2.534358,183.0148,179.2968,0.6900254
20211231T,-0.8077183,179.3042,177.1953,-0.0609144
20211230T,-0.4785767,179.3367,177.7301,0.06482983
20211229T,-0.1111698,180.2491,178.3757,0.4583902
20211228T,0.7971182,179.8361,177.6982,0.5996623
20211227T,2.982695,180.4912,177.3788,1.124814
20211223T,1.904181,176.9511,174.7587,0.5694789
20211222T,3.001235,176.5513,173.3932,0.4884868
20211221T,1.642869,174.0629,171.3835,0.2715159
20211220T,-1.412299,172.1504,169.3573,-1.058775
20211217T,-2.855477,174.1576,170.5824,-0.7183416
